outcome,coef_temp,coef_interaction,se_temp,se_interaction,p_temp,p_interaction,N
poor215,.2736287742077171,1.4036971,.11163656,.40408701,.014349989,.00052696123,6042
gini,.0086632056492731,.95585555,.15660059,.28691232,.9558906,.00088475784,5133
