spec,outcome,panel,outcome_label,coef_temp,se_temp,t_stat,p_value,N,N_country,N_region,depmean,r2
LD,poor215,poverty,US$2.15/day,1.178425809757842,.33489794,3.5187612,.00044863173,1292,104,1292,-2.7987728,.10763948
LD,poor365,poverty,US$3.65/day,.7362163162988959,.35744441,2.0596666,.03963054,1292,104,1292,-3.8422248,.24078242
LD,poor685,poverty,US$6.85/day,-.1248957510411165,.31051692,-.40221882,.68758959,1292,104,1292,-3.279515,.1865721
LD,gini,inequality,Gini,.6836076322848944,.26592088,2.5707183,.01026918,1194,98,1194,-.55113828,.03740016
LD,theil,inequality,Theil,1.273371083388574,.51687241,2.4636083,.013894934,1194,98,1194,-1.1849852,.036172777
